Taxa,Drought,Kiboko,Kmega
CKDHL142711,2.87,7.36,8.31
CKDHL142713,3.77,6.39,10.86
CKDHL142717,2.33,6.41,7.29
CKDHL142724,3.13,6.73,10.56
CKDHL142727,3.48,8.46,9.57
CKDHL142729,2.39,7.84,8.45
CKDHL142955,2,4.95,9.13
CKDHL142956,2.29,4.4,10.34
CKDHL142957,2.42,7.25,10.43
CKDHL142960,2.07,8.04,10.78
CKDHL142961,3.33,6.47,11.14
CKDHL142962,2.61,7.23,9.78
CKDHL142963,3.72,5.96,7.02
CKDHL142964,2.44,7.08,10.87
CKDHL142965,2.91,6.31,11.67
CKDHL142966,2.71,6.91,9.03
CKDHL142968,2.24,8.71,10.34
CKDHL142969,2.44,5.81,8.92
CKDHL142971,2.02,4.95,11.75
CKDHL142972,2.39,5.39,10.1
CKDHL142973,3.01,6.65,9.67
CKDHL142979,2.16,7.54,11.5
CKDHL142981,2.48,8.37,9.23
CKDHL142982,2.61,7.28,8.92
CKDHL142983,2.43,6.52,11.02
CKDHL142989,2.83,7.1,10.94
CKDHL142991,1.65,7.08,7.55
CKDHL142994,2.61,7.97,9.99
CKDHL142995,2.93,6.26,8.67
CKDHL142998,2.72,7.28,6.88
CKDHL143001,2.82,6.8,9.21
CKDHL143002,3.26,9.32,10.77
CKDHL143005,3.23,6.11,8.78
CKDHL143008,2.81,5.45,12.1
CKDHL143009,2.83,4.91,10.36
CKDHL143014,2.94,7.48,11.08
CKDHL143257,2.39,3.48,10.11
CKDHL143258,2.1,4.88,8.55
CKDHL143262,2.48,3.72,8.61
CKDHL143265,2.58,5.69,9.41
CKDHL143266,1.8,5.1,10.57
CKDHL143271,3.47,5.32,8.49
CKDHL143273,1.99,3.25,7.94
CKDHL143277,2.18,4.37,10.81
CKDHL143280,2.12,5.22,9.2
CKDHL143283,1.58,4.02,7.14
CKDHL143289,2.25,4.59,8.72
CKDHL143292,3.09,4.75,9.3
CKDHL143296,1.94,5.47,10.3
CKDHL143360,2.91,7.93,7.62
CKDHL143372,2.86,6.89,10.42
CKDHL143374,2.92,7.81,9.36
CKDHL143377,3.2,5,8.58
CKDHL143378,2.77,7.12,7.06
CKDHL143381,3.32,7.03,9.12
CKDHL143383,3.76,6.94,9.5
CKDHL143385,3,7.5,9.12
CKDHL143388,3.56,7.06,11.58
CKDHL143390,3.16,7.9,7.51
CKDHL143391,3.82,8.42,7.58
CKDHL143392,2.79,7.84,6.11
CKDHL143399,3.37,6.46,7.96
CKDHL143400,2.87,7.22,10.43
CKDHL143403,3.8,7.21,8.97
CKDHL143405,3.41,7.05,7.96
CKDHL143407,3.87,7.65,11.02
CKDHL143416,2.75,8.37,7.51
CKDHL143422,3.35,6.58,8.91
CKDHL143423,2.56,8.22,7.25
CKDHL143427,3.28,6.58,11.29
CKDHL143430,3.61,8.12,7.77
CKDHL143432,3.75,7.38,6.38
CKDHL143440,2.93,7.77,9.28
